spoken,Storage,EdgeTX 2.9,OpenTX 2.3,OpenTx 2.2,OpenTX 2.1,included at v,notes
drift,\drft.wav,\drft.wav,\drft.wav,\drft.wav,\drft.wav,1,
Drift flight mode,\drftfm.wav,\drftfm.wav,\drftfm.wav,\drftfm.wav,\drftfm.wav,3,Also used by Yaapu Script
drift mode,\drftmd.wav,\drftmd.wav,\drftmd.wav,\drftmd.wav,\drftmd.wav,1,
Dual Rates Off,\dualof.wav,\dualof.wav,\dualof.wav,\dualof.wav,\dualof.wav,1,
Dual Rates on,\dualon.wav,\dualon.wav,\dualon.wav,\dualon.wav,\dualon.wav,1,
Dynamic TX Power,\dyntxp.wav,\dyntxp.wav,\dyntxp.wav,\dyntxp.wav,\dyntxp.wav,3,
E K F failsafe,\ekf.wav,\ekf.wav,\ekf.wav,\ekf.wav,\ekf.wav,3,Also used by Yaapu Script
EKF variance,\ekfvar.wav,\ekfvar.wav,\ekfvar.wav,\ekfvar.wav,\ekfvar.wav,3,Also used by Yaapu Script
Elevator,\ele.wav,\ele.wav,\ele.wav,\ele.wav,\ele.wav,1,
Elevator Position 1,\elep1.wav,\elep1.wav,\elep1.wav,\elep1.wav,\elep1.wav,1,
Elevator Position 2,\elep2.wav,\elep2.wav,\elep2.wav,\elep2.wav,\elep2.wav,1,
Elevator Position 3,\elep3.wav,\elep3.wav,\elep3.wav,\elep3.wav,\elep3.wav,1,
enabled,\enbld.wav,\enabl.wav,\enbld.wav,\enbld.wav,\enbld.wav,1.2,
Engine Armed,\engarm.wav,\engarm.wav,\engarm.wav,\engarm.wav,\engarm.wav,1,Also used by INav script
Engine Disarmed,\engdrm.wav,\engdrm.wav,\engdrm.wav,\engdrm.wav,\engdrm.wav,3,Also used by INav script
engine off,\engoff.wav,\engoff.wav,\engoff.wav,\engoff.wav,\engoff.wav,1,
Engine on,\engon.wav,\engon.wav,\engon.wav,\engon.wav,\engon.wav,1.4,
Engine Start,\engstr.wav,\engstr.wav,\engstr.wav,\engstr.wav,\engstr.wav,1.4,
Experienced,\exprnd.wav,\exprnd.wav,\exprnd.wav,\exprnd.wav,\exprnd.wav,1.3,
Expo,\expo.wav,\expo.wav,\expo.wav,\expo.wav,\expo.wav,1,
Expo 1,\expo1.wav,\expo1.wav,\expo1.wav,\expo1.wav,\expo1.wav,3,
Expo 2,\expo2.wav,\expo2.wav,\expo2.wav,\expo2.wav,\expo2.wav,3,
Expo 3,\expo3.wav,\expo3.wav,\expo3.wav,\expo3.wav,\expo3.wav,3,
Expo off,\expoof.wav,\expoof.wav,\expoof.wav,\expoof.wav,\expoof.wav,1,
Expo on,\expoon.wav,\expoon.wav,\expoon.wav,\expoon.wav,\expoon.wav,1,
Extra,\extra.wav,\extra.wav,\extra.wav,\extra.wav,\extra.wav,1,
F14,\f14.wav,\f14.wav,\f14.wav,\f14.wav,\f14.wav,1,
Fail Safe armed,\fail.wav,\fail.wav,\fail.wav,\fail.wav,\fail.wav,1,
failsafe,\fsafe.wav,\fsafe.wav,\fsafe.wav,\fsafe.wav,\fsafe.wav,3,Also used by Yaapu Script
Failsafe Active,\fsact.wav,\fsact.wav,\fsact.wav,\fsact.wav,\fsact.wav,3,
Failsafe Off,\fsoff.wav,\fsoff.wav,\fsoff.wav,\fsoff.wav,\fsoff.wav,3,Also used by INav script
Failsafe On,\fson.wav,\fson.wav,\fson.wav,\fson.wav,\fson.wav,3,Also used by INav script
feet,\foot1.wav,\SYSTEM\foot1.wav,\SYSTEM\foot1.wav,\SYSTEM\foot1.wav,\SYSTEM\0134.wav,1,
feet per second,\fps1.wav,\SYSTEM\fps1.wav,\SYSTEM\fps1.wav,\SYSTEM\fps1.wav,\SYSTEM\0126.wav,1,
fence breach,\fncbrc.wav,\fncbrc.wav,\fncbrc.wav,\fncbrc.wav,\fncbrc.wav,3,Also used by Yaapu Script
fence enabled,\fence.wav,\fence.wav,\fence.wav,\fence.wav,\fence.wav,3,Also used by Yaapu Script
five cell,\5cell.wav,\5cell.wav,\5cell.wav,\5cell.wav,\5cell.wav,1,
Flaperons Active,\flprac.wav,\flprac.wav,\flprac.wav,\flprac.wav,\flprac.wav,1,
Flaperons Disabled,\flprdi.wav,\flprdi.wav,\flprdi.wav,\flprdi.wav,\flprdi.wav,1,
Flaperons Down,\flprdn.wav,\flprdn.wav,\flprdn.wav,\flprdn.wav,\flprdn.wav,1,
